"","Dataset","Model","FS_Method","RA","CLR","logRA","PA"
"165","CD2","RandomForest","Relief50",0.828111946532999,0.779573292204871,0.796819291819292,0.837545466229677
"166","CD2","RandomForest","RF100",0.840309748730801,0.790068119015487,0.801124285071653,0.832531007004691
"167","CD2","RandomForest","RF50",0.837934580039843,0.78836867810552,0.802794164899428,0.830818713450292
"168","CD2","RandomForest","VAE",0.63123256860099,0.830517318938372,0.579374076216181,0.742129683182315
"169","CD2","SVM","AE100",0.729938307306728,0.817926868453184,0.809367649893966,0.807385129490393
"170","CD2","SVM","AE50",0.694462438146649,0.826158987211619,0.777654392391234,0.825888439046334
"171","CD2","SVM","LASSO",0.763086562560247,0.820314247156352,0.829771222929118,0.817746610115031
"172","CD2","SVM","MIFS100",0.804857978279031,0.835141379088748,0.821237067026541,0.771662168241116
"173","CD2","SVM","MIFS50",0.770620140093824,0.830998329156224,0.841481909902962,0.726728038043828
"174","CD2","SVM","mRMR100",0.791113681639997,0.848282565387829,0.856249598354861,0.844723989460832
"175","CD2","SVM","mRMR50",0.816497975708502,0.859685110211426,0.856799048904312,0.841256667309299
"176","CD2","SVM","Relief100",0.750742240215925,0.826481909902963,0.834970760233918,0.84703425229741
"177","CD2","SVM","Relief50",0.781694621168305,0.797748859327807,0.828816914080072,0.843202236360131
"178","CD2","SVM","RF100",0.734848017479596,0.835113424587109,0.832321830216567,0.836140993509415
"179","CD2","SVM","RF50",0.778588779641411,0.833662361030782,0.830893258787996,0.833500417710944
"180","CD2","SVM","VAE",0.691654777970567,0.845718141507615,0.524876935929568,0.693560825139772
"181","CDI","Boosting","AE100",0.776718979989657,0.860449735449735,0.827233311453236,0.850477980665951
"182","CDI","Boosting","AE50",0.776830021482277,0.873449397302781,0.683978696741855,0.840091946135179
"183","CDI","Boosting","LASSO",0.879423558897243,0.922899510681466,0.923691371285356,0.898211302064686
"184","CDI","Boosting","MIFS100",0.898527867287266,0.912928452082587,0.903293054063731,0.892642021720969
"185","CDI","Boosting","MIFS50",0.885359678959303,0.900711302064686,0.902844909893782,0.880335809762502
"186","CDI","Boosting","mRMR100",0.888265902852369,0.902787027091538,0.908091359350758,0.891398138202649
"187","CDI","Boosting","mRMR50",0.887250417710944,0.890038190714882,0.90953693758205,0.891291771094403
"188","CDI","Boosting","Relief100",0.891143036161833,0.899415503043323,0.912203723594701,0.893614989855591
"189","CDI","Boosting","Relief50",0.887549230218403,0.904908401957274,0.906304153240243,0.890551676811075
