,Dataset,Model,AUC,AUC Std. Dev.,Accuracy,Time,FS_Method
559,CRC1,SVM,0.6945438183182234,0.0403439045106355,0.6428571428571428,0.3907285976409912,mRMR50
565,CRC2,RandomForest,0.7212727272727273,0.1032472340489191,0.6823809523809524,26.39835470199585,mRMR50
566,CRC2,Boosting,0.6694612794612794,0.1353162754216804,0.6409523809523808,0.5695700740814209,mRMR50
567,CRC2,KNN,0.7564006734006735,0.1084613659541293,0.6253333333333334,0.1124960899353027,mRMR50
568,CRC2,LogisticRegression,0.7504107744107743,0.0944483044758758,0.6493333333333333,0.1335298156738281,mRMR50
569,CRC2,SVM,0.696023569023569,0.2030726755009253,0.6461904761904762,0.0912080192565917,mRMR50
570,CD1,RandomForest,0.7669086538461538,0.0720123110257331,0.6842857142857142,126.10662183761596,mRMR50
571,CD1,Boosting,0.7863958333333333,0.0618655877791977,0.7228571428571426,0.6982836723327637,mRMR50
572,CD1,KNN,0.7955144230769231,0.0541377315657433,0.6714285714285714,0.1812730121612548,mRMR50
573,CD1,LogisticRegression,0.7864935897435897,0.0685350776645065,0.7200000000000002,0.2193274211883545,mRMR50
574,CD1,SVM,0.8009871794871795,0.0721077015850345,0.7071428571428571,0.1638005828857421,mRMR50
575,CD2,RandomForest,0.8150131739605423,0.054602464267893,0.7175,132.959276304245,mRMR50
576,CD2,Boosting,0.824581325107641,0.0574262631411809,0.765,0.7723198699951171,mRMR50
577,CD2,KNN,0.8263357110725532,0.0594990547674146,0.75125,0.1845604801177978,mRMR50
578,CD2,LogisticRegression,0.8524619240408714,0.0478386039503553,0.77,0.2233977317810058,mRMR50
579,CD2,SVM,0.859685110211426,0.0495354889945642,0.77,0.166722183227539,mRMR50
580,PAR1,RandomForest,0.6585777777777778,0.0816893004561791,0.6022988505747127,426.7914033126831,mRMR50
581,PAR1,Boosting,0.6477460317460317,0.0868683275078499,0.597103448275862,0.6997978019714356,mRMR50
582,PAR1,KNN,0.6663111111111111,0.0777413361989196,0.612367816091954,0.2217889213562011,mRMR50
583,PAR1,LogisticRegression,0.7130285714285712,0.0643939425234335,0.6348965517241378,0.2624613952636718,mRMR50
584,PAR1,SVM,0.5376888888888889,0.1588659360869347,0.6145747126436781,0.1999467945098877,mRMR50
585,PAR2,RandomForest,0.7071896497811133,0.0644329084738228,0.6581727725011306,279.45735978126527,mRMR50
586,PAR2,Boosting,0.6923977833368078,0.0610754648746459,0.6653821800090458,1.6454988098144532,mRMR50
587,PAR2,KNN,0.6921130220276561,0.0745311232087768,0.6461872455902307,0.2645724487304687,mRMR50
588,PAR2,LogisticRegression,0.7212502605795288,0.0655667442202794,0.6790592492085028,0.3409733772277832,mRMR50
589,PAR2,SVM,0.6941841776110068,0.0913445618765372,0.645463591135233,0.2752963638305664,mRMR50
590,PAR3,RandomForest,0.7508534014784014,0.0534197080193646,0.6800504756357988,637.510223865509,mRMR50
591,PAR3,Boosting,0.730469276969277,0.0503976902675696,0.6844146767617939,2.050361452102661,mRMR50
592,PAR3,KNN,0.7247114518364519,0.0472245209562109,0.6592001553096486,0.4803410911560059,mRMR50
593,PAR3,LogisticRegression,0.7723749711249712,0.048549693713211,0.6990331974373908,0.6010953903198242,mRMR50
